text_id,text,mention,offset,kb_id
0,14日，国防军工板块早盘全线走强。截至9:47，中船防务、中国船舶、天海防务涨停，中船科技、中国重工涨逾8%，亚星锚链、三角防务等纷纷跟涨。（文章来源：中国证,中国船舶,29,90
1,世代代以农耕为生，但伴随老龄化加剧，农户平均年龄70岁，由于后继无人，大量农田遭到废弃。中国国家电投上海电力日本公司项目推进部代理部长森山浩年：我在去茨城出差的路上，我们保持联系，随时沟通。森山浩年3,上海电力,50,-1
2,。进入7月份，煤矿积极响应，增加生产，铁路部门科学调度指挥，增挂2万吨运煤大列，确保煤炭供应。同时，环渤海各港口加强与矿路港航电各方的协调联系，加快卸车，增加场存。据悉，近期呼铁局日均发运量维持在23,环渤海,50,-1
3,2012年4月16日，来伊份向证监会提交了招股书申报稿，拟在深交所上市发行,来伊份,11,183
4,一致行动人合计持股数量将降至22.27%，没有导致公司控股权发生变更。不过公告提示，交易完成后南京红太阳将成为上市公司第一大股东，其持股比例与公司实际控制人的持股比例较为接近，如公司实际控制人后续继,红太阳,49,11
5,商品价格涨起来了，好像就是脱虚入实，这是扯淡的，我的看法是没有什么争论的，真正有争论的是两拨人没说到一块去。 陈兴动：因为我们是市场人士，不参与纯粹理论上的讨论，市场经济学家希望给投资者做一个方向基本,一块去,50,-1
6,中航证券接手辅导山水环境IPO提速,山水环境,8,202
7,29.31%；同期归属于上市公司股东的净利润则是3.86亿元，同比增长了32.97%。 (图片来源：同花顺)众所周知，药明康德首发价格为21.6元，而最新收盘价为80.84元，这些股东仅上市后股价上涨,同花顺,50,50
8,其中，控股股东广州发展集团拟以其拥有的广州燃气集团有限公司100%的股权来认购本次非公开发行的部分股票，广州燃气集团100%的股权评估值约为18.54亿元,广州发展,7,86
9,具有市场导向的创新技术体系和服务体系，是增强人民安全感、获得感、幸福感的重要保障。在这个背景下，中国建研院牵头成立健康建筑产业创新的战略联盟，并发起了本次大会，希望能共同推动“健康中国”战略在建筑领域,建研院,50,-1
10,技术的推动渗透率有望逐步提升。公司布局科徕尼并以智能锁作为切入点进入智能家居领域。在渠道方面，将整合好太太渠道优势资源形成以点带面的局面，2018年计划增加专卖店300-500个左右。风险提示,好太太,50,-1
11,相关技术难题，提升装备水平，在采矿、选矿、冶炼、废弃物的回收再利用方面取得了显著成果。在采矿方面，山东黄金集团着重进行深部、海底机械化及智能化采矿的前沿性、共性技术难题的研发，依托技术的进步和采矿设,山东黄金,49,-1
12,酒楼排位甚至到2000多桌以后，有餐饮机构甚至因人太多而限流。另外，就上市公司业绩方面，去年上市的广州酒家今年上半年实现利润5800多万元，同比增长42%；实现营业收入7。9亿元，同比增长超过15,广州酒家,49,168
13,是什么？他要做什么？我们必须要回到1978年。1978年开始的这场改革始终没有解决好的问题就是涨价，老百姓抱怨认为只要改革就涨价。为什么呢？因为原来计划经济时代的所有价格都是政府定的，是不能变化的。那,老百姓,50,-1
14,”文一波表示，“我相信农村污水治理的市场空间足够大，三家企业不可能做完，只有更多的民企参与进来，才能真正解决农村的环境问题,水治理,14,-1
15,大悦城接手大兴王府井百货,王府井,7,-1
16,94年已被强行关闭，这个依靠银行发达的家族最终离开了银行业。1949年，经济史家德鲁弗与妻子偶然地在佛罗伦萨档案馆里看到一套“机密账本”，仔细查阅，发现竟是当年美第奇银行的账本，账本详细地记载了从乔万,佛罗伦萨,50,-1
17,洛阳玻璃(01108.HK)公布，公司第八届董事会第六十二次会议召开，审议通过了关于公司第九届董事会,洛阳玻璃,0,142
18,摘要医药电商板块快速拉升，老百姓涨5.54%、恩华药业涨2.71%、新华制药涨2.01%、益丰药房涨1.74%、国药股份涨1.,老百姓,13,186
19,股权转染协议书》彩色扫描件，《每日经济新闻》记者22日下午致电*ST烯碳证券部、银基集团、中青城投、中青旅山东投资欲求证上述情况，但未能获得回应。此轮保壳大战生机几何？处在暂停上市阶段的*ST烯碳已连,中青旅,50,88
20,2561万元、-2771万元、-2891万元、-4171万元、-4382万元和-2923万元。此外，西安旅游经营活动产生的现金流量净额也已连续6年为负，分别为-1278万元、-72万元、-1.1亿元、,西安旅游,50,20
21,李雅兰：城市“煤改气”将成为我国未来天然气消费重要驱动力,驱动力,25,-1
22,西藏板块异动西藏发展涨超4%,西藏发展,6,31
23,大商所大豆“保险+期货”试点项目落地黑龙江北大荒,北大荒,21,-1
24,"新赛点、欧迅体育及梅陇体育等公司主要收入依赖赛事运营,业绩更为疲弱",新赛点,0,238
25,在霉运连连的2014年过去之后，酒鬼酒终于迎来了一丝利好,酒鬼酒,16,34
26,"在中国证券网金博士财富俱乐部的互动版块中,不少网友近期提出了如何投资海外市场的问题",金博士,6,-1
27,"证券时报网01月12日讯据人民网报道,2018年才刚过不到半月,保监会就一连签出三张罚单,针对交银康联人寿保险有限公司(、长城人寿保险股份有限公司及农银人寿保险股份有限公司三家年金保险产品存在违规行为,做出相应处罚",人民网,13,-1
